item key	item_id	item_name
alchemyr	45000	alchemyr
aliza	45001	aliza
alx	45002	alx
AndreMaw	45003	AndreMaw
AndreRemains	45004	AndreRemains
angelblue	45005	angelblue
angelinghat	45006	angelinghat
angelingwings	45007	Angeling Wings
angelred	45008	angelred
angelwhite	45009	angelwhite
angelwings	45010	angelwings
angry_eyebrows	45011	angry eyebrows
aoa_green	45012	aoa green
aquaring_hat	45013	aquaring hat
archan_rucksack	45014	archan rucksack
aria	45015	aria
asterpin	45016	asterpin
awsm	45017	awsm
ayam_black	45019	ayam black
ayam_blue	45020	ayam blue
ayam_brown	45021	ayam brown
ayam_green	45022	ayam green
ayam_pink	45023	ayam pink
ayam_purple	45024	ayam purple
ayam_white	45025	ayam white
ayam_yellow	45026	ayam yellow
ayo	45027	ayo
ayothayahat	45028	ayothayahat
babybell	45029	babybell
backpack	45030	backpack
baseballcap_black	45031	baseballcap black
baseballcap_brown	45032	baseballcap brown
baseballcap_darkred	45033	baseballcap darkred
baseballcap_green	45034	baseballcap green
baseballcap_lightblue	45035	baseballcap lightblue
baseballcap_lightpurple	45036	baseballcap lightpurple
baseballcap_pink	45037	baseballcap pink
baseballcap_purple	45038	baseballcap purple
baseballcap_red	45039	baseballcap red
baseballcap_white	45040	baseballcap white
baseballcap_yellow	45041	baseballcap yellow
batmask	45042	batmask
bbear	45043	bbear
bbrooch	45044	bbrooch
beer	45045	beer
bellsofharem	45047	Bells of Harem
beret_black	45048	beret black
beret_blue	45049	beret blue
beret_brown	45050	beret brown
beret_pink	45051	beret pink
beret_purple	45052	beret purple
beret_red	45053	beret red
beret_white	45054	beret white
beret_yellow	45055	beret yellow
bflynet	45056	bflynet
bigbackribbon	45057	bigbackribbon
BioAura	45058	BioAura
black_winter	45059	black winter
black_wm	45060	black wm
blackbwings	45061	blackbwings
blackcap	45062	blackcap
blackhairband	45063	blackhairband
blackhelmofdarkness	45064	blackhelmofdarkness
BlackNeckTie	45065	BlackNeckTie
blacktailedribbon	45066	blacktailedribbon
blackvalkyriehelm	45067	blackvalkyriehelm
blue_robe	45068	blue robe
blue_wm	45069	blue wm
bluebandana_black	45070	bluebandana black
bluebandana_brown	45071	bluebandana brown
