ID	AegisName	Name	Type	Buy	Sell	Weight	ATK	DEF	Range	Slots	Job	Class	Gender	Loc	wLV	eLV[:maxLevel]	Refineable	View	{ Script }	{ OnEquip_Script }	{ OnUnequip_Script }
10001	Skull_Helm	Skull Helm	8	20		0														{}	{}	{}
10002	Monster_Oxygen_Mask	Monster Oxygen Mask	8	20		0														{}	{}	{}
10003	Transparent_Headgear	Transparent Head Protector	8	20		0														{}	{}	{}
10004	Pacifier	Pacifier	8	20		0														{}	{}	{}
10005	Wig	Wig	8	20		0														{}	{}	{}
10006	Queen's_Hair_Ornament	Queen's Hair Ornament	8	20		0														{}	{}	{}
10007	Silk_Ribbon	Silk Ribbon	8	20		0														{}	{}	{}
10008	Punisher	Punisher	8	20		0														{}	{}	{}
10009	Wild_Flower	Wild Flower	8	20		0														{}	{}	{}
10010	Battered_Pot	Battered Pot	8	20		0														{}	{}	{}
10011	Stellar_Hairpin	Stellar Hairpin	8	20		0														{}	{}	{}
10012	Tiny_Egg_Shell	Tiny Egg Shell	8	20		0														{}	{}	{}
10013	Backpack	Backpack	8	1500		0														{}	{}	{}
10014	Rocker_Glasses	Rocker Glasses	8	2000		0														{}	{}	{}
10015	Green_Lace	Green Lace	8	20		0														{}	{}	{}
10016	Golden_Bell	Golden Bell	8	20		0														{}	{}	{}
10017	Bark_Shorts	Bark Shorts	8	20		0														{}	{}	{}
10018	Monkey_Circlet	Monkey Circlet	8	20		0														{}	{}	{}
10019	Red_Muffler	Red Scarf	8	20		0														{}	{}	{}
10020	Sword_Of_Grave_Keeper	Grave Keeper's Sword	8	20		0														{}	{}	{}
10021	Round_Hair_Ornament	Circular Headgear	8	20		0														{}	{}	{}
10022	Golden_Earing	Gold Earring	8	20		0														{}	{}	{}
10023	Green_Lucky_Bag	Green Jewel Bag	8	20		0														{}	{}	{}
10024	Fashionable_Glasses	Fashion Glasses	8	20		0														{}	{}	{}
10025	Star_Hairband	Hairband Of Stars	8	20		0														{}	{}	{}
10026	Wine_On_Sleeve	Tassel for Durumagi	8	20		0														{}	{}	{}
10027	Spirit_Chain_	Pet Soul Ring	8	20		0														{}	{}	{}
10028	Nice_Badge	Beautiful Badges	8	20		0														{}	{}	{}
10029	Jade_Trinket	Jade Trinket	8	20		0														{}	{}	{}
10030	Summer_Fan	Summer Fan	8	20		0														{}	{}	{}
10031	Death_Coil	Ring Of Death	8	20		0														{}	{}	{}
10032	Queen's_Coronet	Queen's Coronet	8	20		0														{}	{}	{}
10033	Apro_Hair	Afro	8	20		0														{}	{}	{}
10034	Ball_Mask	Masked Ball	8	20		0														{}	{}	{}
10035	Windup_Spring	Spring	8	20		0														{}	{}	{}
10036	Hell_Horn	Horn Of Hell	8	20		0														{}	{}	{}
10037	Black_Butterfly_Mask	Black Butterfly Mask	8	20		0														{}	{}	{}
10038	Horn_Protector	Horn Barrier	8	20		0														{}	{}	{}
11000	Prontera_Book_01	History book of Prontera	3	8000		10														{}	{}	{}
11001	Adventure_Story01	Adventure Story Vol.1	3	8000		10														{}	{}	{}
11002	Great_Chef_Orleans01	Chef King Orleans Vol.1	3	8000		10														{}	{}	{}
11003	Legend_Of_Kafra01	Kafra Legend Vol.1	3	8000		10														{}	{}	{}
11004	Mercenary_Rebellion	Old Book	3	10000		10														{}	{}	{}
11005	Tyrant_Schmidt	Rune Royal Family Book	3	10000		10														{}	{}	{}
11006	Blood_Flower01	Blood Flower Vol.1	3	8000		10														{}	{}	{}
