item_id,display_name,Weight,Description,Dropped By,Comment,Item Script,Compound On,Class,Defense,Required Lvl,Refineable,Applicable Job,Attack,Property,Weapon Lvl
14536,Abrasive,1,"An abrasive that adds sharpness to a weapon. For 5 minutes, the player will recieve +30 Critical Rate. This rate is doubled by Katar weapons.",,,"{ specialeffect2 182; sc_start SC_INCCRI,300000,30; }",,,,,,,,,
6069,Abundance,1,,,,,,,,,,,,,
4140,Abysmal Knight Card,,Increase damage on Boss monster by 25%.,Abysmal Knight (0.5%),,"{ bonus2 bAddRace,RC_Boss,25; }",Weapon,,,,,,,,
5407,Academy Completion Hat [1],20,You can get this after you finish 1 course in academy. MSP + 30,,,"{ bonus bMaxSP,30; }",,Upper Head,1,0,No,,,,
5406,Academy Freshman Hat,20,"Academy Freshman Hat! If you wear this, you should greet all of members of academy. MHP + 80, MSP + 10",,,"{ bonus bMaxHP,80; bonus bMaxSP,10; }",,Upper Head,1,0,No,,,,
2751,Academy Of Badge,10,"The first process should be able to complete the first accessories to complete the process of the sign. If the base level is less than or equal to 79, MHP + 400, MSP + 200",,,"{ if(BaseLevel < 80) { bonus bMaxHP,400; bonus bMaxSP,200; } }",,Accessory,0,0,No,,,,
11516,Acai Fruit,1,A famous desert fruit. It's commonly used on hot days in icecream or juice. Heals a small amount of HP.,,,"{ itemheal 0,0; }",,,,,,,,,
12375,Acaraje,8,Attack rate + 10% & HIT + 5 for 20 minutes. Effect disappear upon death.,,,"{ sc_start SC_INCATKRATE,1200000,10; sc_start SC_INCHIT,1200000,5; }",,,,,,,,,
2800,Acceleration Gear [1],10,"Required item to use the Mechanic Magic Gear skill 'Acceleration'. AGI + 2, Movement speed + 10%.",,,"{ bonus bAgi,2; bonus bSpeedAddRate,10; }",,Accessory,0,99,No,,,,
2713,Accomplishment Certificate,0,Accomplished a quest is not a possibility of receiving the case request which it will have in the certificate again. The time passes and disappears naturally with the paper of the quality of material which it is drawn up.,,,{  },,Accessory,0,0,No,,,,
7136,Acid Bottle,1,A bottle holding a highly corrosive acid.,Marie Heinrike (5%),,,,,,,,,,,
7129,Acid Bottle Creation Guide,1,A book with instructions for creating Acid Bottles.,,,,,,,,,,,,
2767,Acolyte Figure [1],0,A figure made representing the Acolyte Class. DEX +2. [Acolyte Class] SP consumption reduced by 5%.,Yesnelph Treasure (12%),,"{ bonus bDex,2; if(BaseClass == Job_Acolyte) bonus bUseSPrate,-5; }",,Accessory,0,0,No,,,,
2821,Acolyte Tutorial [1],1,A guide to help experience the basic skill of Acolyte. SP + 100.,,,"{ bonus bMaxSP,100; }",,Accessory,0,0,No,,,,
1026,Acorn,1,"A tough, woody shelled nut from an oak tree.",Coco (100%),,,,,,,,,,,
12347,Acorn Jelly,5,"Jelly made out of unripe acorn flour. Usually acorn jelly is delicately-flavored, but this is quite sour tasting.",,,{  },,,,,,,,,
12404,Activation Potion,1,"... ATK, MATK + 2% for 2 minutes. Increases recovery from the heal skill and recovery items by 10%. Effect disappear upon death.",,,"{ sc_start SC_INCATKRATE,120000,2; sc_start SC_INCMATKRATE,120000,2; sc_start SC_INCHEALRATE,120000,10; }",,,,,,,,,
23018,Adelinde Rinslet Card,,Grants the wearer with Level 1 Gank.,Adelinde Rinslet (0.5%),,"{ skill ""RG_SNATCHER"",1; }",Accessory,,,,,,,,
30172,Adelinde Rinslet Pokeball,0,A Pokeball in which an Adelinde Rinslet Cute Pet rests. Can be hatched by using a Pet Incubator.,,,,,,,,,,,,
7029,Admission for Duel,0,Admission to watch a duel between honorable combatants.,,,,,,,,,,,,
20613,Adorofu's Heart Ring,50,Te Amo Claudia. Eres Lo Mejor Que Me Puede Pasar. MyKx100pre!!,,,{  },,Lower Head,1,1,No,,,,
2809,Advanced Cooling System [1],100,"... DEX + 1, When receiving physical or magical damage, there's a chance to cast Level 3 Frost Nova.",,,"{ bonus bDex,1; bonus5 bAutoSpellWhenHit,""WZ_FROSTNOVA"",3,50,BF_WEAPON|BF_MAGIC,1; }",,Accessory,0,99,No,,,,
21005,Advanced Forging Manual,20,A book which contains all the information for special blacksmithing recipes.,,,,,,,,,,,,
32010,Advanced Lucky Candy,10,"Grants user ++25% Experience for 10 minutes. Cannot be traded, vended, sold, or dropped.",,,"{ sc_start SC_EXPBOOST,600000,25; }",,,,,,,,,
