Item ID	For Sale	Identifier	Credit Price	Name	Type	NPC Buy	Weight	NPC Sell	Attack	Range	Defense	Slots	Refineable	Equip Level	Weapon Level	Equip	Locations	Equip Upper	Equippable Jobs	Equip Gender	Item Use Script	Equip Script	Unequip Script	Image Path	Icon Path
22200	No	1_Million_Zeny_Coin	Not For Sale	1 Million Zeny Coin	Etc	0	0	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150524061058im_/http://essence-ro.com/data/items/images/22200.png	https://web.archive.org/web/20150524061058im_/http://essence-ro.com/data/items/icons/22200.gif	
32023	No	100x_Acid_Bomb_Box	Not For Sale	100x Acid Bomb Box	Delay Consume	10	100	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 callfunc ""autodrop""; getitem 7135,100; getitem 7136,100; delitem 32023,1;"	None	None	https://web.archive.org/web/20150531104252im_/http://essence-ro.com/data/items/images/32023.png	https://web.archive.org/web/20150531104252im_/http://essence-ro.com/data/items/icons/32023.gif	
32025	No	20x_Yggdrasil_Berry_Box	Not For Sale	20x Yggdrasil Berry Box	Delay Consume	10	100	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 callfunc ""autodrop""; getitem 607,20; delitem 32025,1;"	None	None	https://web.archive.org/web/20150531104153im_/http://essence-ro.com/data/items/images/32025.png	https://web.archive.org/web/20150531104153im_/http://essence-ro.com/data/items/icons/32025.gif	
32022	No	30x_Poison_Bottle_Box	Not For Sale	30x Poison Bottle Box	Delay Consume	10	100	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 callfunc ""autodrop""; getitem 678,30; delitem 32022,1;"	None	None	https://web.archive.org/web/20150531080240im_/http://essence-ro.com/data/items/images/32022.png	https://web.archive.org/web/20150531080240im_/http://essence-ro.com/data/items/icons/32022.gif	
32024	No	30x_Speed_Potion_Box	Not For Sale	30x Speed Potion Box	Delay Consume	10	100	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 callfunc ""autodrop""; getitem 12016,30; delitem 32024,1;"	None	None	https://web.archive.org/web/20150531094033im_/http://essence-ro.com/data/items/images/32024.png	https://web.archive.org/web/20150531094033im_/http://essence-ro.com/data/items/icons/32024.gif	
5596	No	4_Leaf_Clover_In_Mouth_R	Not For Sale	4 Leaf Clover In Mouth	Armor	0	0	0	0	0	0	0	Yes	1	0	Lower Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 bonus bBaseAtk,5; bonus bMdef,2; bonus bMatk,5;"	None	None	https://web.archive.org/web/20151105093459im_/http://essence-ro.com/data/items/images/5596.png	https://web.archive.org/web/20151105093459im_/http://essence-ro.com/data/items/icons/5596.gif	
32011	No	5x_Advanced_Lucky_Candy_Box	Not For Sale	5x Advanced Lucky Candy Box	Usable	50	10	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Unknown	"1 callfunc ""autodrop""; getitem 32010,5;"	None	None	https://web.archive.org/web/20150531054857im_/http://essence-ro.com/data/items/images/32011.png	https://web.archive.org/web/20150531054857im_/http://essence-ro.com/data/items/icons/32011.gif	
5406	No	Academy_Freshman_Hat	Not For Sale	Academy Freshman Hat	Armor	20	20	0	0	0	1	0	No	0	0	Upper Headgear	Normal / Upper / Baby	All Jobs	Female	"1 bonus bMaxHP,80; bonus bMaxSP,10;"	None	None	https://web.archive.org/web/20150524041625im_/http://essence-ro.com/data/items/images/5406.png	https://web.archive.org/web/20150524041625im_/http://essence-ro.com/data/items/icons/5406.gif	
5407	No	Academy_Graduating_Cap	Not For Sale	Academy Completion Hat	Armor	20	20	0	0	0	1	1	No	0	0	Upper Headgear	Normal / Upper / Baby	All Jobs	Female	"1 bonus bMaxSP,30;"	None	None	https://web.archive.org/web/20151105092937im_/http://essence-ro.com/data/items/images/5407.png	https://web.archive.org/web/20151105092937im_/http://essence-ro.com/data/items/icons/5407.gif	
2800	No	Accelerator	Not For Sale	Acceleration Gear	Armor	"200,000"	10	0	0	0	0	1	No	99	0	Accessory 1 + Accessory 2	Normal / Upper / Baby	Blacksmith	Both (Male and Female)	"1 bonus bAgi,2; bonus bSpeedAddRate,10;"	None	None	https://web.archive.org/web/20150524043732im_/http://essence-ro.com/data/items/images/2800.png	https://web.archive.org/web/20150524043732im_/http://essence-ro.com/data/items/icons/2800.gif	
